,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number
0,1217744A,2020,Terdthai Cricket Ground,Thailand,Nepal,13,2,38,4,15,3,66,9,Thailand,bat,Bangkok,Nepal,ACC Eastern Region T20,1217744,A
0,1217744B,2020,Terdthai Cricket Ground,Nepal,Thailand,72,1,0,0,0,0,72,1,Thailand,bat,Bangkok,Nepal,ACC Eastern Region T20,1217744,B
1,1268190A,2021,Marsa Sports Club,Malta,Belgium,27,2,43,4,44,2,114,8,Belgium,field,Marsa,Belgium,Belgium tour of Malta,1268190,A
1,1268190B,2021,Marsa Sports Club,Belgium,Malta,37,4,56,1,22,0,115,5,Belgium,field,Marsa,Belgium,Belgium tour of Malta,1268190,B
2,1257406A,2021,Wanderers Cricket Ground,Namibia,Uganda,58,0,79,2,52,1,189,3,Namibia,bat,Windhoek,Namibia,Uganda tour of Namibia,1257406,A
2,1257406B,2021,Wanderers Cricket Ground,Uganda,Namibia,29,2,77,3,18,3,124,8,Namibia,bat,Windhoek,Namibia,Uganda tour of Namibia,1257406,B
3,1336952A,2022,Sano International Cricket Ground,Japan,South Korea,63,1,110,3,45,4,218,8,Japan,bat,Sano,Japan,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1336952,A
3,1336952B,2022,Sano International Cricket Ground,South Korea,Japan,48,3,98,2,24,1,170,6,Japan,bat,Sano,Japan,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1336952,B
4,930579A,2015,Sheikh Zayed Stadium,Oman,Hong Kong,46,3,53,1,50,0,149,4,Hong Kong,field,Abu Dhabi,Hong Kong,Hong Kong v Oman T20I Series,930579,A
4,930579B,2015,Sheikh Zayed Stadium,Hong Kong,Oman,41,2,86,0,28,0,155,2,Hong Kong,field,Abu Dhabi,Hong Kong,Hong Kong v Oman T20I Series,930579,B
5,1142919A,2018,Harare Sports Club,Australia,Pakistan,54,0,93,3,36,5,183,8,Australia,bat,,Pakistan,Zimbabwe Twenty20 Tri-Series,1142919,A
5,1142919B,2018,Harare Sports Club,Pakistan,Australia,48,3,106,1,33,0,187,4,Australia,bat,,Pakistan,Zimbabwe Twenty20 Tri-Series,1142919,B
6,356012A,2009,Kennington Oval,Pakistan,Ireland,38,1,91,2,30,2,159,5,Pakistan,bat,London,Pakistan,ICC World Twenty20,356012,A
6,356012B,2009,Kennington Oval,Ireland,Pakistan,37,1,61,3,22,5,120,9,Pakistan,bat,London,Pakistan,ICC World Twenty20,356012,B
7,1168114A,2019,Rajiv Gandhi International Cricket Stadium,Afghanistan,Ireland,64,1,97,3,49,2,210,6,Ireland,field,Dehra Dun,Afghanistan,Ireland tour of India,1168114,A
7,1168114B,2019,Rajiv Gandhi International Cricket Stadium,Ireland,Afghanistan,66,1,87,3,25,3,178,7,Ireland,field,Dehra Dun,Afghanistan,Ireland tour of India,1168114,B
8,1256724A,2022,Kensington Oval,West Indies,England,58,0,55,4,66,0,179,4,West Indies,bat,Bridgetown,West Indies,England tour of West Indies,1256724,A
8,1256724B,2022,Kensington Oval,England,West Indies,56,2,68,4,38,4,162,10,West Indies,bat,Bridgetown,West Indies,England tour of West Indies,1256724,B
9,1201668A,2019,La Manga Club Bottom Ground,Portugal,Spain,18,2,47,3,22,1,87,6,Spain,field,Murcia,Spain,Iberia Cup,1201668,A
9,1201668B,2019,La Manga Club Bottom Ground,Spain,Portugal,39,1,50,1,0,0,89,2,Spain,field,Murcia,Spain,Iberia Cup,1201668,B
10,356006A,2009,Lord's,India,West Indies,40,3,69,1,44,3,153,7,India,bat,London,West Indies,ICC World Twenty20,356006,A
10,356006B,2009,Lord's,West Indies,India,32,1,83,2,41,0,156,3,India,bat,London,West Indies,ICC World Twenty20,356006,B
11,800479A,2016,Newlands,England,South Africa,50,1,56,5,28,2,134,8,South Africa,field,Cape Town,South Africa,England in South Africa T20I Series,800479,A
11,800479B,2016,Newlands,South Africa,England,35,2,63,2,37,3,135,7,South Africa,field,Cape Town,South Africa,England in South Africa T20I Series,800479,B
12,1310942A,2022,Queens Sports Club,Namibia,Zimbabwe,48,2,56,4,23,1,127,7,Zimbabwe,field,Bulawayo,Namibia,Namibia tour of Zimbabwe,1310942,A
12,1310942B,2022,Queens Sports Club,Zimbabwe,Namibia,37,2,47,3,11,4,95,9,Zimbabwe,field,Bulawayo,Namibia,Namibia tour of Zimbabwe,1310942,B
13,1201683A,2019,Indian Association Ground,Zimbabwe,Nepal,43,2,87,1,30,1,160,4,Nepal,field,Singapore,Zimbabwe,Singapore Twenty20 Tri-Series,1201683,A
13,1201683B,2019,Indian Association Ground,Nepal,Zimbabwe,39,3,55,3,26,3,120,9,Nepal,field,Singapore,Zimbabwe,Singapore Twenty20 Tri-Series,1201683,B
14,1332507A,2022,Willowmoore Park,Botswana,Ghana,41,2,74,3,31,3,146,8,Ghana,field,Benoni,Botswana,Africa Cricket Association Cup,1332507,A
14,1332507B,2022,Willowmoore Park,Ghana,Botswana,27,1,79,4,29,4,135,9,Ghana,field,Benoni,Botswana,Africa Cricket Association Cup,1332507,B
15,540173A,2012,Beausejour Stadium,West Indies,Australia,38,1,82,2,30,3,150,6,West Indies,bat,St Lucia,Australia,Australia in West Indies T20I Series,540173,A
15,540173B,2012,Beausejour Stadium,Australia,West Indies,52,1,77,1,24,0,153,2,West Indies,bat,St Lucia,Australia,Australia in West Indies T20I Series,540173,B
16,875541A,2015,The Village,Afghanistan,Hong Kong,41,1,79,2,41,4,161,7,Afghanistan,bat,Dublin,Hong Kong,ICC World Twenty20 Qualifier,875541,A
16,875541B,2015,The Village,Hong Kong,Afghanistan,37,1,76,2,49,2,162,5,Afghanistan,bat,Dublin,Hong Kong,ICC World Twenty20 Qualifier,875541,B
17,287878A,2007,Kingsmead,India,Australia,36,1,105,2,47,2,188,5,India,bat,Durban,India,ICC World Twenty20,287878,A
17,287878B,2007,Kingsmead,Australia,India,37,1,111,2,25,4,173,7,India,bat,Durban,India,ICC World Twenty20,287878,B
18,1299579A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,Philippines,49,2,91,1,51,2,191,5,Bahrain,bat,Al Amarat,Bahrain,ICC Men's T20 World Cup Qualifier A,1299579,A
18,1299579B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Philippines,Bahrain,29,2,49,5,22,2,100,9,Bahrain,bat,Al Amarat,Bahrain,ICC Men's T20 World Cup Qualifier A,1299579,B
